寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
1732.53,1862.08,1729.99,1859.37,334237.79,22851268800.0
1845.17,1863.36,1785.51,1796.13,331743.9,22116017600.0
1759.49,1851.51,1758.19,1830.33,298935.81,19337161600.0
1825.47,1898.53,1820.58,1895.75,360603.68,23143457600.0
1883.04,1909.46,1862.69,1876.31,361463.1,22966163200.0
1845.58,1895.06,1800.99,1800.99,332579.23,21004996800.0
1820.85,1837.71,1772.01,1827.34,276383.2,17811779200.0
1843.1,1863.38,1827.37,1845.78,258879.3,16514123200.0
1824.4,1826.62,1710.44,1714.42,310466.75,21398836800.0
1720.44,1725.25,1618.12,1700.15,302842.69,22135270400.0
1676.88,1696.71,1622.47,1629.06,232012.21,16885275200.0
1624.85,1703.66,1620.51,1689.43,248740.75,18089526400.0
1684.72,1699.01,1647.37,1671.91,217579.09,15365348800.0
1672.99,1734.52,1672.99,1729.09,244316.38,16759824000.0
1709.48,1744.58,1698.09,1737.2,229311.6,15872987200.0
1742.4,1779.79,1742.4,1771.07,266596.48,17971932800.0
1773.71,1780.13,1750.46,1750.7,217884.45,14732867200.0
1693.81,1759.91,1693.34,1750.02,199665.17,13736152000.0
1759.4,1826.15,1759.4,1821.71,301370.08,20040124800.0
1821.48,1850.36,1810.13,1847.65,343715.52,23076491200.0
1859.52,1867.98,1838.1,1841.42,359833.89,23723577600.0
1835.56,1861.72,1831.75,1850.51,302956.06,19041094400.0
1874.49,1888.18,1865.08,1888.18,363399.9,23595081600.0
1890.32,1894.54,1852.45,1877.19,361317.15,22797380800.0
1869.43,1887.11,1836.91,1876.47,352716.22,22230817600.0
1872.25,1872.25,1731.57,1738.67,394765.76,27040668800.0
1750.51,1759.8,1701.5,1736.54,296329.34,20850041600.0
1726.78,1726.78,1627.18,1643.35,267130.13,20865440000.0
1643.55,1693.78,1620.58,1681.47,280386.37,21010900800.0
1677.44,1763.39,1676.68,1760.58,354164.99,26977350400.0
1760.32,1793.43,1756.77,1758.13,383542.94,28866694400.0
1749.33,1762.23,1687.37,1706.97,345664.64,26049657600.0
1724.18,1759.78,1724.1,1741.65,270057.6,19868598400.0
1738.72,1750.54,1673.49,1750.54,312203.94,23099406400.0
